id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,person_id,name,character,role
tm1300,A Charlie Brown Christmas,MOVIE,"When Charlie Brown complains about the overwhelming materialism that he sees amongst everyone during the Christmas season, Lucy suggests that he become director of the school Christmas pageant. Charlie Brown accepts, but is a frustrating struggle. When an attempt to restore the proper spirit with a forlorn little fir Christmas tree fails, he needs Linus' help to learn the meaning of Christmas.",1965,G,25,"['comedy', 'drama', 'family', 'music', 'animation']",['US'],,tt0059026,8.3,40328.0,10.848,7.688,96413,Peter Robbins,Charlie Brown (voice),ACTOR
tm1300,A Charlie Brown Christmas,MOVIE,"When Charlie Brown complains about the overwhelming materialism that he sees amongst everyone during the Christmas season, Lucy suggests that he become director of the school Christmas pageant. Charlie Brown accepts, but is a frustrating struggle. When an attempt to restore the proper spirit with a forlorn little fir Christmas tree fails, he needs Linus' help to learn the meaning of Christmas.",1965,G,25,"['comedy', 'drama', 'family', 'music', 'animation']",['US'],,tt0059026,8.3,40328.0,10.848,7.688,96416,Christopher Shea,Linus Van Pelt (voice),ACTOR
tm1300,A Charlie Brown Christmas,MOVIE,"When Charlie Brown complains about the overwhelming materialism that he sees amongst everyone during the Christmas season, Lucy suggests that he become director of the school Christmas pageant. Charlie Brown accepts, but is a frustrating struggle. When an attempt to restore the proper spirit with a forlorn little fir Christmas tree fails, he needs Linus' help to learn the meaning of Christmas.",1965,G,25,"['comedy', 'drama', 'family', 'music', 'animation']",['US'],,tt0059026,8.3,40328.0,10.848,7.688,96414,Tracy Stratford,Lucy Van Pelt (voice),ACTOR
tm1300,A Charlie Brown Christmas,MOVIE,"When Charlie Brown complains about the overwhelming materialism that he sees amongst everyone during the Christmas season, Lucy suggests that he become director of the school Christmas pageant. Charlie Brown accepts, but is a frustrating struggle. When an attempt to restore the proper spirit with a forlorn little fir Christmas tree fails, he needs Linus' help to learn the meaning of Christmas.",1965,G,25,"['comedy', 'drama', 'family', 'music', 'animation']",['US'],,tt0059026,8.3,40328.0,10.848,7.688,96415,Cathy Steinberg,Sally Brown (voice),ACTOR
tm1300,A Charlie Brown Christmas,MOVIE,"When Charlie Brown complains about the overwhelming materialism that he sees amongst everyone during the Christmas season, Lucy suggests that he become director of the school Christmas pageant. Charlie Brown accepts, but is a frustrating struggle. When an attempt to restore the proper spirit with a forlorn little fir Christmas tree fails, he needs Linus' help to learn the meaning of Christmas.",1965,G,25,"['comedy', 'drama', 'family', 'music', 'animation']",['US'],,tt0059026,8.3,40328.0,10.848,7.688,149,Bill Melendez,Snoopy (voice),ACTOR
tm1300,A Charlie Brown Christmas,MOVIE,"When Charlie Brown complains about the overwhelming materialism that he sees amongst everyone during the Christmas season, Lucy suggests that he become director of the school Christmas pageant. Charlie Brown accepts, but is a frustrating struggle. When an attempt to restore the proper spirit with a forlorn little fir Christmas tree fails, he needs Linus' help to learn the meaning of Christmas.",1965,G,25,"['comedy', 'drama', 'family', 'music', 'animation']",['US'],,tt0059026,8.3,40328.0,10.848,7.688,96409,Chris Doran,Schroeder / Shermy (voice),ACTOR
tm1300,A Charlie Brown Christmas,MOVIE,"When Charlie Brown complains about the overwhelming materialism that he sees amongst everyone during the Christmas season, Lucy suggests that he become director of the school Christmas pageant. Charlie Brown accepts, but is a frustrating struggle. When an attempt to restore the proper spirit with a forlorn little fir Christmas tree fails, he needs Linus' help to learn the meaning of Christmas.",1965,G,25,"['comedy', 'drama', 'family', 'music', 'animation']",['US'],,tt0059026,8.3,40328.0,10.848,7.688,96410,Sally Dryer,Violet (voice),ACTOR
tm1300,A Charlie Brown Christmas,MOVIE,"When Charlie Brown complains about the overwhelming materialism that he sees amongst everyone during the Christmas season, Lucy suggests that he become director of the school Christmas pageant. Charlie Brown accepts, but is a frustrating struggle. When an attempt to restore the proper spirit with a forlorn little fir Christmas tree fails, he needs Linus' help to learn the meaning of Christmas.",1965,G,25,"['comedy', 'drama', 'family', 'music', 'animation']",['US'],,tt0059026,8.3,40328.0,10.848,7.688,96411,Karen Mendelson,Patty (voice),ACTOR
tm1300,A Charlie Brown Christmas,MOVIE,"When Charlie Brown complains about the overwhelming materialism that he sees amongst everyone during the Christmas season, Lucy suggests that he become director of the school Christmas pageant. Charlie Brown accepts, but is a frustrating struggle. When an attempt to restore the proper spirit with a forlorn little fir Christmas tree fails, he needs Linus' help to learn the meaning of Christmas.",1965,G,25,"['comedy', 'drama', 'family', 'music', 'animation']",['US'],,tt0059026,8.3,40328.0,10.848,7.688,96412,Geoffrey Ornstein,Pig-Pen (voice),ACTOR
tm1300,A Charlie Brown Christmas,MOVIE,"When Charlie Brown complains about the overwhelming materialism that he sees amongst everyone during the Christmas season, Lucy suggests that he become director of the school Christmas pageant. Charlie Brown accepts, but is a frustrating struggle. When an attempt to restore the proper spirit with a forlorn little fir Christmas tree fails, he needs Linus' help to learn the meaning of Christmas.",1965,G,25,"['comedy', 'drama', 'family', 'music', 'animation']",['US'],,tt0059026,8.3,40328.0,10.848,7.688,96408,Ann Altieri,Frieda (voice),ACTOR
